mse,weight_order,prod_distance_order,time_delivery_order,thetas
420012956469,1,1,1,0.0608180516667639 0.7983432010422763 0.8410569618365141 0.6237460174174188
423938913978,1,1,2,0.722234178941914 0.7546493991021395 -0.6589624309413887 0.09856333055318116 0.2939304082556449
421909608225,1,1,3,0.2504434079769494 0.9792445485538228 0.1350138768299122 0.26054044791032066 0.2977861719046538 -0.07534387231618721
346019154304,3,1,1,-0.3053889390268849 -0.4255402693945596 -0.3608791590170351 0.3734833446583708 0.8846028625932659 -0.6990186775663991
426645703718,2,1,2,0.6990614475718304 -0.38905513957370363 -0.7355167165565328 -0.6959911077107047 0.03684668185737829 -0.1689847188692896
423564244612,2,1,1,0.9860625534618525 0.3999522045087617 -0.892400737076127 0.6493167401846239 0.1998529673233729
309372984845,1,2,2,-0.40009093667928264 -0.2571370041490021 -0.3114040234806045 0.021854557718806775 0.827099107224398 0.30970822292411776
418432239348,2,1,3,-0.17231250471140092 0.23352482111306064 0.5647020406552192 0.7917773400186686 -0.18670998724594356 0.761265351009186 -0.2213807415784743
428970782979,2,1,4,0.9571305055324983 0.7782581254560827 -0.6256502791470681 -0.7111094653002796 0.616389364411184 -0.535735904048648 0.016965948423598883 -0.22958043794477942
344173781731,3,1,3,0.38263654811296516 -0.22680798649135478 0.5033364400301353 0.38878222734377965 -0.23924912019842823 0.5677257368464179 -0.2530278580393027 -0.7022437561889457
87322718762,3,2,2,0.7641640479197328 0.15115261310232647 0.15279321010598457 -0.002641430659837594 -0.5078596812641942 0.133704407565299 -0.014522785497136561 -0.5269840818312098
369218655635,3,1,2,0.18099560984475496 -0.00440472812290074 0.2937081941614194 0.25499840263553136 -0.3280469970460265 0.32320603770117534 0.009175060568257806
461676654508,3,1,4,0.9419267035383895 -0.30812276309700715 -0.4071697491964545 -0.16484497858906005 0.32481402866709674 -0.8768389772454536 -0.6963757298777982 0.1709979020074466 -0.07096256481009289
421431210455,1,1,4,-0.6828013543018574 -0.20031901583497436 -0.4397161523949238 -0.26454425115511926 -0.426574208457347 0.4449546689305931 0.13727534280988923
768795778886,3,2,3,-0.10661365879317886 0.9016134367650234 -0.51881443763343 -0.006236538686336392 -0.036589841408173604 0.2881125404311944 0.1977473302616839 0.0839212646418274 0.2263117043038279
1317150089343,1,2,3,-0.2941545204180932 -0.656418768433604 -0.27361315181530577 0.34555872022864215 -0.028730646804733542 -0.6344905235831607 0.18416320965878452
