mse,weight_order,prod_distance_order,time_delivery_order,thetas
403230105888.56464,1,1,3,16991.91539351385 0.9407834249907543 -0.3261874357355732 -0.04642493425648331 0.7017309719083169 0.29346939117547044
399914214487.5368,1,1,1,20206.600990860454 0.2144945206155695 0.2830245320320166 -0.28808611096140213
350428231654.9722,1,1,2,61989.40900784256 0.36859923916217685 -0.4736014173293124 -0.25661635461248955 -0.08299638909089913
515704892789.14417,1,1,4,73296.18847473874 -0.13048686848125368 0.27402484142316563 0.6733933415624647 0.2207617568435878 -0.6766415418550698 -0.720407095705069
465350955804.3023,2,1,4,27144.176352694416 -0.22128329723162543 -0.22661949850194163 -0.7591908508666094 0.11968884723607376 -0.7708552007118326 -0.353260971021518 -0.1872047716555103
533154493604.0988,3,1,4,52885.323946243516 -0.3739053281554239 0.907145554018554 -0.19142620109100061 0.7853706392135016 0.7725341701141852 -0.10925597861473979 -0.0023378298006373477 -0.037173426170885815
425038086224.42584,2,1,3,1151.113104135515 0.4110210250702755 -0.4110250978828309 -0.7500521211767099 -0.3519191919014837 -0.08126639689818482 -0.5017388168645525
454524548495.7861,3,1,3,78346.0578074242 -0.7277709387109865 -0.6302483373121728 -0.7383729100440422 0.6935418552450365 0.36579529586900095 0.7325019620637008 -0.15864041481495805
414772884599.49426,3,1,1,67310.42795946867 0.5644136942883391 -0.17271275605354575 -0.17138891593428696 0.6663002479418185 -0.5567477603348687
379979671486.48267,2,1,2,46678.118885079035 -0.1925410762274511 0.6516929990861688 -0.8257667628469403 0.7141929214336515 -0.33085643402698617
360041946978.1287,2,1,1,68841.01487656738 0.35801542007599774 -0.8899325531108959 0.38444904089394494 0.4317173194492896
391881320212.05695,3,1,2,53674.69783790875 0.8494092642447224 0.611835871921186 -0.22952392427501378 -0.26404693065851337 0.16838765024633595 -0.5096018207694757
