mse,weight_order,prod_distance_order,time_delivery_order,thetas
419765108167,1,1,1,0.06511081449176073 0.7829616051671929 0.9355997163523323 0.6901593869755418
511611340664,1,2,2,-0.41040338970372514 -0.38328207197051045 -0.33699866165040127 -0.01455213892724728 0.9146944776193808 0.325506373495869
423572562407,2,1,1,0.9902090814098942 0.3408212033741034 -0.9508690830403427 0.7227342627485179 0.22097542976458093
373737530143,3,1,1,-0.38376729776450924 -0.5158660460782428 -0.46270382932927195 0.227092187176912 0.9848674121319075 -0.7718451620251098
427118605519,2,1,2,0.6697320445694666 -0.5309933719026291 -0.8196477381214557 -0.7617515663282846 0.04056020525350944 -0.21220612824616808
358820976067,3,1,3,0.4575616214332631 -0.28240706235932017 0.631055849782341 0.3081107331756289 -0.25725469475927526 0.4768913319177975 -0.1976783061800448 -0.9123498073765275
386602765261,3,1,2,0.23917608792643244 -0.06170815925345629 0.38586283626915535 0.16629874306021963 -0.3568274551716531 0.35788595627336517 0.07050402736865795
437283809640,2,1,4,0.8255599627384547 0.7582763959493947 -0.8033207944685593 -0.7744228956103163 0.6967091237497245 -0.8173638889716069 0.16696760557509738 -0.86710816284716
424098739719,1,1,2,0.8377590419907708 0.7379674429140257 -0.7244335106732502 0.10951337420445001 0.4390890416886716
421824456087,1,1,3,0.31262725807677305 0.9844223370345857 0.15385442714190534 0.27682718366382025 0.3865756677791009 -0.048941998731297266
564862549056,3,1,4,0.8601266146138368 -0.5053185848344708 -0.5184189506921921 -0.5358147238708441 0.37057274124366707 -0.9489786436852954 -0.8932260659601594 0.044459621365050675 -0.521931586652246
518842882734,3,2,3,-0.13919844538896434 0.8941854459412736 -0.5848524256236486 -0.019675701264163736 -0.03569594019590939 0.2541226265030421 0.27586444098400614 0.058250099217640613 0.3849385683929373
184591152678,3,2,2,0.826043135917064 0.05454845910585382 0.23698712742736103 -0.17800843035820102 -0.5546320160446729 0.18531853677341922 -0.01631340589411609 -0.5062083427951174
669921070075,1,2,3,-0.3679560638268167 -0.8259107684176744 -0.29360378745408566 0.27530201182584846 0.009844468818182722 -0.763005921395683 0.26444663956428516
417676364286,2,1,3,-0.03401799814166079 0.16155960166598654 0.7625260580991841 0.8791250833053165 -0.2605870854124957 0.96557715893413 -0.37241504704006106
425035296258,1,1,4,-0.8048081747897996 -0.3224584567997114 -0.47617461980071846 -0.19401378585075923 -0.5849323881829831 0.6010165607023737 -0.17342556927152686
