loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas,diverge
283327784069892352,2,1,1,1.0,-18801360.725777917 -1079206310.536874 -71627898660.7847 -39142359252.03551 -140298083.32512605,False
227753006210,1,1,3,0.8,-9714.493593235135 -405769.8531307374 -20798478.061481036 -79222.82710729958 -808152.9366511671 -9103928.916476183,False
213709157956,1,1,2,0.4,-2562.6188808038683 -106240.88178014806 -5526215.126677455 -19336.076655860037 -187920.26287101727,False
215235049098,1,1,1,0.8,-2540.908001145345 -104813.8783314501 -5491252.848178812 -19241.155632353548,False
230145527094,1,1,3,0.0,-9488.735508264257 -391043.833296511 -20404661.84211621 -76474.95348134812 -777476.0094100568 -8751873.514299419,False
214742781778,1,1,1,1.0,-2512.149132528477 -102747.10751433017 -5422614.976475285 -18733.424778320332,False
214337324249,1,1,2,0.2,-2509.9242106464517 -103605.67416623638 -5398230.385277966 -18860.250003151625 -182036.4826420229,False
229424688767,1,1,3,0.4,-9472.893212789671 -399259.92593985493 -20226881.296651475 -76395.52419113107 -776109.0117966232 -8736947.223990677,False
213859296867,1,1,1,0.6,-2516.5367964224197 -105093.40190137518 -5448890.302343213 -18686.132026200983,False
214639043127,1,1,2,1.0,-2472.8999994876544 -104023.92989882582 -5337827.653778646 -18495.93948930256 -179658.06864249206,False
213002519527,1,1,1,0.4,-2564.3626907502703 -105858.92139496215 -5546864.068396394 -19464.10399088579,False
237853039205262656,2,1,2,0.4,-19355775.160050802 -1107349379.4956803 -73319859597.6879 -40173454990.89222 -143896826.50811845 -1384872502.8026338,False
215413972109,1,1,2,0.6,-2588.4325583860104 -107061.92675195061 -5598760.119121917 -19435.968768472365 -187103.3739392576,False
229076039808,1,1,3,1.0,-9450.825501311869 -393983.92111251375 -20325761.020511664 -75975.22622852474 -770111.0650660881 -8653410.285056839,False
213007401525,1,1,2,0.8,-2594.3964718051866 -107383.07969640358 -5615136.579284536 -19371.164597407555 -186411.64017401845,False
210873421707,1,1,1,0.2,-2505.127189507854 -104029.24390710366 -5455067.784971774 -18598.443645639418,False
211527306585,1,1,2,0.0,-2489.313571547782 -104543.22579277959 -5404638.36256052 -18669.664358090962 -180788.67473364636,False
276925919259628448,2,1,2,0.6,-20694290.78764055 -1193733207.8156617 -79361857875.06985 -42889653876.70452 -157012349.87159675 -1529468127.0109956,False
227064349230,1,1,3,0.6,-9615.284492159728 -401490.3593093964 -20570769.37168006 -78396.02854110929 -800261.2682598401 -9013955.743527852,False
248015674703885824,2,1,2,0.0,-19609918.182935894 -1128459004.0496037 -75009356299.7352 -40766619549.93971 -147062104.2357595 -1427863484.7612689,False
297516820468985920,2,1,1,0.6,-19352524.492728386 -1109758848.2389476 -73465236713.61801 -39989957515.37457 -146159835.344708,False
213293257518,1,1,1,0.0,-2542.647433823922 -105869.97608417962 -5497696.143154951 -18960.6207287642,False
258081680874825984,2,1,2,0.8,-20076683.997794654 -1150986773.4391444 -76349248062.98291 -41892125473.995285 -150020655.7420013 -1445705875.7231808,False
279364277317937216,2,1,2,1.0,-20779990.01370511 -1194770006.5928996 -79580279202.77184 -43319324021.28277 -155918599.491941 -1505686678.2317,False
248051495044660160,2,1,2,0.2,-19797307.092381522 -1130874353.003922 -74789210386.39232 -41181745452.301346 -148478991.22321647 -1429918063.0534575,False
358560623560055616,2,1,3,0.0,-25959629.224800523 -1462702325.5618727 -96304706212.56656 -53961034953.51616 -197714745.55086198 -1942345423.828936 -21393232609.975105,False
377244222619196224,2,1,3,0.4,-26591544.04527793 -1501989116.8551593 -98951492904.95657 -55047649926.740654 -203763000.51299834 -1998469979.6677494 -21937084132.9819,False
402911862550039808,2,1,3,1.0,-27194194.894310594 -1547076880.9222374 -102531751333.75345 -56486992421.353966 -208600188.92041397 -2047381448.3107078 -22462279816.81574,False
228253344574,1,1,3,0.2,-9322.987924758396 -389160.6401452592 -20082005.19682721 -75115.87833766037 -761495.4027742993 -8558024.61357599,False
290977310430535360,2,1,1,0.0,-19115796.11063569 -1094744988.2075825 -72547870533.97382 -39741272217.717445 -143840016.4837475,False
