 fscore,weight_order,prod_distance_order,time_delivery_order,lambda
8809009008,1,1,1,0.6,644138.3489538863 91316.5422437506 -5047.374029759708 -867.0534285560765
8907360083,1,1,2,0.6,625680.2291833255 91533.00481195355 -5081.496257959365 -971.7092461540196 12543.843755233414
8907434034,1,1,3,0.6,625677.3279348161 91532.49619465062 -5080.408440295458 -1261.9963012470937 12544.002336340784 93.82162618428704
9274698630,1,1,4,0.6,599274.6755583985 91548.14620211674 -5436.910755810228 -316.48539181414225 117844.27454628202 -218.94191471561584 -42212.63965613048
9213253816,1,2,1,0.6,609481.0218234719 91023.930420962 -4911.152872213938 30978.989495288693 -1046.5961102400427
9628478226,1,2,2,0.6,577402.3152202169 91131.79894750833 -4878.081244466012 38092.03411979585 -1169.6898291953012 18130.99444686952
9630731606,1,2,3,0.6,577356.7587861256 91122.26483127996 -4871.703904849914 38122.96750494438 -4292.16851435005 18128.425276753685 1646.677991726805
9743625615,1,2,4,0.6,560345.4535416286 91195.59998815581 -5228.589222470771 33942.596534152326 -3404.0287099517 113293.53278096917 1341.5109043805423 -39243.354313206946
9254933200,1,3,1,0.6,609739.7641381407 90993.12043071841 -22455.05793629998 30660.556875862745 9308.366717496467 -887.1222448906909
9674288162,1,3,2,0.6,577612.6059235429 91101.66075621071 -22516.18153499369 37765.23371713392 9302.202458347354 -1008.5585359562342 18190.410997721574
9676612884,1,3,3,0.6,577566.2946488407 91091.85852266318 -22520.338755947505 37796.67067832238 9306.215422980758 -4212.182719516314 18187.720877718675 1692.755042364059
9787211977,1,3,4,0.6,560563.0207477222 91164.67843544562 -22911.62395500226 33617.55601998335 9354.971937618153 -3325.388469774496 113331.94644967976 1388.515600626889 -39237.27270825475
9526247419,1,4,1,0.6,586919.0471294239 90715.52358981395 -28935.406132595683 109546.24694672202 13341.356932608163 -27075.264214344777 -916.5987801312376
9745839929,1,4,2,0.6,563858.5773098407 90865.52951806039 -27910.067656286566 110777.18293446247 12839.86410828468 -26152.132584300718 -1027.166346897956 14245.197299590835
9747660846,1,4,3,0.6,563821.5042675282 90856.7945664443 -27912.217907857124 110792.11505254658 12842.646314071866 -26148.14939051095 -3887.2934682371147 14243.58594051201 1525.1125632621518
9925925811,1,4,4,0.6,544840.4472054059 90915.59028112811 -28434.422983647848 105688.72362286318 12908.021309503441 -25332.043341582328 -2985.798160787741 108792.49307044302 1215.7043683916013 -38410.33515093933
8830129195,2,1,1,0.6,635555.1986253025 91381.7193194321 2519.9753372690343 -5151.0172926315545 -1066.9714914770066
9140096684,2,1,2,0.6,596047.3266434064 91399.32344553106 12517.202760270893 -5159.922705510481 -1274.495652565944 22652.773398144447
9140073692,2,1,3,0.6,596022.261591664 91393.41232893027 12534.155326153803 -5155.731126311992 -3250.3860743704004 22650.403115825124 996.9893363010474
9370617853,2,1,4,0.6,580265.5488714351 91514.93558534133 7146.658198197196 -5494.122290284872 -2352.063518651553 121231.20473919241 717.9459998568773 -41106.78844494086
9474955185,2,2,1,0.6,589075.9736657911 90900.64185502246 6621.238816726508 -4969.128634390418 38064.8046047054 -1306.3565145810178
9978036899,2,2,2,0.6,547558.9091725878 90881.55453044624 13436.849974097071 -4920.262168119199 42473.60065065539 -1457.2757902856015 24955.229435972185
9982940018,2,2,3,0.6,547478.0306870368 90867.19066697532 13467.515336196202 -4911.688025006337 42512.37990307131 -5896.29634579985 24946.882096071255 2379.7507537240526
10005866652,2,2,4,0.6,536550.9764576156 91008.45350436529 9330.535594245488 -5241.222816500606 39285.46116793004 -5086.086557848262 113487.63588573555 2117.462707062464 -37357.01511084935
