loss,weight_order,prod_distance_order,time_delivery_order,lambda
8808707772,1,1,1,0.0,644166.385447935 91313.3972513236 -5044.8180712276 -863.8352538069395
8808707772,1,1,1,0.2,644166.3854479346 91313.397251324 -5044.818071228015 -863.8352538069305
8808707772,1,1,1,0.4,644166.3854479349 91313.39725132409 -5044.818071227899 -863.8352538061954
8808707772,1,1,1,0.6,644166.385447935 91313.39725132364 -5044.818071228084 -863.8352538058904
8808707772,1,1,1,0.8,644166.3854479344 91313.3972513245 -5044.8180712289595 -863.8352538063054
8808707772,1,1,1,1.0,644166.3854479343 91313.39725132463 -5044.818071228263 -863.8352538068673
8809838943,1,1,2,0.0,643025.4753644216 91322.77217588629 -5045.211576949018 -868.2905407445736 893.2018373067423
8809838943,1,1,2,0.2,643025.4754878535 91322.77217436348 -5045.211576689732 -868.2905400079393 893.2017543996286
8809838943,1,1,2,0.4,643025.4753074923 91322.77217658938 -5045.211577070014 -868.2905410842862 893.2018755452989
8809838943,1,1,2,0.6,643025.4753569674 91322.77217597885 -5045.211576965223 -868.2905407894601 893.2018423137047
8809838942,1,1,2,0.8,643025.475620703 91322.77217272489 -5045.211576409008 -868.2905392152367 893.2016651665226
8809838943,1,1,2,1.0,643025.475270296 91322.77217704817 -5045.211577148742 -868.2905413062208 893.2019005293454
8810457842,1,1,3,0.0,643027.7291211537 91324.90649079737 -5046.05090336037 -233.81974128127771 893.5999787883966 -382.15398036623117
8810457839,1,1,3,0.2,643027.729410072 91324.90647343997 -5046.050889500283 -233.82495910900633 893.5997617389988 -382.15144678629247
8810457861,1,1,3,0.4,643027.729370943 91324.90656953042 -5046.050981363149 -233.78879123106952 893.5999472687846 -382.16900591481755
8810457823,1,1,3,0.6,643027.7288516283 91324.90640768413 -5046.050820963111 -233.85244019853786 893.6000158653214 -382.13810578980264
8810457818,1,1,3,0.8,643027.7285095069 91324.90638800923 -5046.050798758931 -233.86147996544756 893.6002058776184 -382.1337175476309
8810457833,1,1,3,1.0,643027.7288975071 91324.90645128881 -5046.0508632659885 -233.83573097527363 893.6000586172228 -382.14621785835766
9002609566,1,1,4,0.0,616452.5353089907 91443.08912750916 -5290.366617716792 735.0225341355715 74251.75940433194 -772.4430432906604 -26698.778570581304
9002610230,1,1,4,0.2,616452.4875706008 91443.08944789963 -5290.367146376833 735.0624578700622 74251.88927424935 -772.4622862119072 -26698.825523833006
9002609037,1,1,4,0.4,616452.5771111731 91443.08897157303 -5290.3662825718075 735.036279309598 74251.647114059 -772.4498361362556 -26698.738045855043
9002609780,1,1,4,0.6,616452.5223164503 91443.08929546895 -5290.366844424149 735.0649702104854 74251.7956782619 -772.4636058937392 -26698.791732343823
9002609519,1,1,4,0.8,616452.5379621804 91443.0890836384 -5290.3665616090475 735.0101277896883 74251.75188711035 -772.4370284365874 -26698.77583756767
9002610235,1,1,4,1.0,616452.4819630296 91443.08931030166 -5290.367028773093 734.9986509827446 74251.90251576381 -772.4312958430512 -26698.83020868667
9062862047,1,2,1,0.0,618162.8875779508 90995.82554395191 -4900.965890753977 25728.802991708337 -949.8216299194056
9062862046,1,2,1,0.2,618162.887664908 90995.82554363401 -4900.965890648945 25728.802939123947 -949.8216289471743
9062862047,1,2,1,0.4,618162.887549706 90995.82554405482 -4900.965890787863 25728.803008788447 -949.82163023423
