loss,weight_order,prod_distance_order,time_delivery_order,lambda,thetas
62624198,2,2,4,0.0,7.748310607244027 0.10375445710091234 -0.11930853210782875 -0.029987785630003073 -0.11587703669821978 -0.14122660490659086 -0.16459235361678143 0.03512344863708083 0.051366189585075425
62624150,2,2,4,0.2,7.7482462426969 0.1037469599239918 -0.11929955651495162 -0.029986447021543457 -0.11586621370649149 -0.14117616744406736 -0.16446535432390558 0.03510492139604928 0.051325791001217216
62624006,2,2,4,0.8,7.748052519201815 0.10372447278123616 -0.11927254303270841 -0.029982441827177467 -0.11583364813344336 -0.14102549178970486 -0.16408329213985712 0.03504962827549368 0.0512042554723106
62639467,2,3,2,0.8,7.704975437435722 0.10052242578089403 -0.12262375655413431 -0.23705723807660745 -0.11483317613894854 0.11788804181601635 -0.07041419953132816 -0.015009779860069102
62650049,2,3,4,0.2,7.748688419230905 0.10154591514007841 -0.12103751384696315 -0.235822340863258 -0.11573745126825062 0.11725555907801406 -0.1359009318617361 -0.16513886452149043 0.032915521415520774 0.051829057449343796
62649888,2,3,4,0.6,7.7485596949394315 0.10153516643911632 -0.12101802228424281 -0.23556126724967405 -0.11571604473438558 0.11712483869500838 -0.13581057573021937 -0.164882960385189 0.03288298140467457 0.051747162897149625
62619932,3,2,2,0.0,7.70360782912601 0.19168993106637525 -0.12041765634119149 -0.048935931907655 -0.030344838286030528 -0.1147974013275697 -0.0718189449013623 -0.015468574448947538
62647114,3,3,2,0.2,7.703776791667324 0.19035530623306618 -0.12212649510653811 -0.049386520068062004 -0.23810730300553293 -0.11465903695924397 0.1183508641955506 -0.07098222513912204 -0.014964021163312585
62646817,3,3,2,1.0,7.703699651928083 0.1899960996326389 -0.12208517967059243 -0.04921131278490421 -0.237576089146051 -0.11462063007548773 0.11808473256321178 -0.07096240835090116 -0.014961805495180502
62657630,3,3,4,0.6,7.747825769404069 0.1934596683774531 -0.12045874906134985 -0.0505258305124811 -0.23621576727905094 -0.11551864697441776 0.11738895494764276 -0.13684346666217806 -0.16677423412453707 0.033049485368425675 0.05242375706784093
