loss,weight_order,prod_distance_order,time_delivery_order,lambda,alpha,thetas
67536850289536552,1,1,1,0.0,0.001,643899.2562759856 91217.02621862377 -4391.7119694245985 -149.54490413118452
67532522621919120,1,1,1,0.2,0.001,643899.2822137274 91210.84301414333 -4391.360815867746 -149.5045195661125
67528195820541976,1,1,1,0.4,0.001,643899.3081432509 91204.66062784356 -4391.009702088727 -149.46419586734305
67523869920889848,1,1,1,0.6,0.001,643899.3340706227 91198.47910816515 -4390.6586813077265 -149.42386318470668
67519544896669160,1,1,1,0.8,0.001,643899.3599935111 91192.29841935738 -4390.307719767669 -149.3835527716633
67515220737097344,1,1,1,1.0,0.001,643899.3859173065 91186.1185491891 -4389.956775946013 -149.34320903406947
67832656095496856,1,1,2,0.0,0.001,626458.2141281505 91050.32937256298 -4311.060223754588 120.59544133789107 12036.1742063392
67828193525653656,1,1,2,0.2,0.001,626461.5619037445 91044.19792089151 -4310.730245414736 120.54848552777199 12033.542143558101
67823731185543272,1,1,2,0.4,0.001,626464.9231146683 91038.06736891276 -4310.400429785171 120.50135012565812 12030.901035648243
67819270179712520,1,1,2,0.6,0.001,626468.2755476425 91031.93757041817 -4310.070581290686 120.45439120689237 12028.266096690015
67814809581052824,1,1,2,0.8,0.001,626471.6388321717 91025.80872392579 -4309.7408877655935 120.40724411953794 12025.623880674133
67810350513191872,1,1,2,1.0,0.001,626474.9889721305 91019.68057122412 -4309.411156410498 120.36029360222096 12022.990822746817
67832748042976024,1,1,3,0.0,0.001,626458.0589352368 91050.38393550181 -4311.657113033849 600.5849552177986 12033.621682571858 -262.86713510589146
67828285377659224,1,1,3,0.2,0.001,626461.4064908057 91044.25239003028 -4311.326956965798 600.3325618645154 12030.99090956197 -262.7553581954675
67823822693397272,1,1,3,0.4,0.001,626464.7743185692 91038.12196523626 -4310.996622522456 599.9844638474304 12028.34669561426 -262.59698954486794
67819362254567864,1,1,3,0.6,0.001,626468.1142017271 91031.99209120646 -4310.666276227992 599.6588037264265 12025.721708453062 -262.4494163344119
67814901226436936,1,1,3,0.8,0.001,626471.4855090411 91025.86339474627 -4310.335752310739 599.2323358051563 12023.075659708993 -262.2528219668196
67810442146464704,1,1,3,1.0,0.001,626474.8340538396 91019.73514144453 -4310.005973335539 599.0296220999567 12020.444682833535 -262.16528672845567
69814944595319184,1,1,4,0.0,0.001,600587.7492279911 90691.13594500747 -4639.55451710165 1246.6265101842841 116827.99298615595 -713.2027749262256 -42220.5400243397
69807894033247616,1,1,4,0.2,0.001,600605.3825328271 90685.2216738173 -4639.045335353167 1245.8488390277007 116767.34556407348 -712.7780974163215 -42197.550068269506
69800854618593752,1,1,4,0.4,0.001,600622.9578605315 90679.30724497522 -4638.537559895409 1245.3491341224153 116706.86693358909 -712.4891286573561 -42174.62253539482
69793805543781864,1,1,4,0.6,0.001,600640.6251831274 90673.39504855654 -4638.028010350958 1244.481821026568 116646.14760983612 -712.0207024919841 -42151.608040122395
69786780650687872,1,1,4,0.8,0.001,600658.1312804408 90667.4814322422 -4637.520385168057 1243.8517774537363 116585.88158104259 -711.6682274296768 -42128.75926679925
69779754113639584,1,1,4,1.0,0.001,600675.6719584921 90661.56917699504 -4637.012295571655 1243.1082650758758 116525.53175323586 -711.260362874126 -42105.880789389994
71339615807791576,1,2,1,0.0,0.001,609039.9866852587 91079.84632519868 -5079.476228428852 31742.53347251383 -504.5845929382017
71334621684209392,1,2,1,0.2,0.001,609043.1523480838 91073.68494459256 -5079.009506313546 31739.76810198777 -504.4836659805495
71329628470350888,1,2,1,0.4,0.001,609046.3184304822 91067.52440992504 -5078.542875587283 31737.002622014625 -504.38272952303726
71324637250353056,1,2,1,0.6,0.001,609049.4781952612 91061.36471984019 -5078.076434735321 31734.241161371454 -504.281900851034
71319645891222232,1,2,1,0.8,0.001,609052.6447718053 91055.20585138978 -5077.60994085928 31731.47567302027 -504.18099921929564
71314657069872080,1,2,1,1.0,0.001,609055.8013917743 91049.04776915132 -5077.143670821671 31728.7164339194 -504.0802525396053
73760339821972912,1,2,2,0.0,0.001,579478.342875475 90820.35453184262 -5127.999473194843 38389.956287548055 -186.1917737111274 16924.621857219678
73754805938734432,1,2,2,0.2,0.001,579485.4005800573 90814.25639533746 -5127.5326232062935 38386.49738562007 -186.18420909343314 16921.753391530045
73749271820624128,1,2,2,0.4,0.001,579492.4673278838 90808.15915717784 -5127.065767455164 38383.03577549733 -186.17673102198992 16918.881022179638
